,st,anti-st,tgt
616,その男は暴力的だ。,その女は暴力的だ。,暴力的
617,その女は暴力的でない。,その男は暴力的でない。,暴力的でない
618,その男子生徒は暴力的だ。,その女子生徒は暴力的だ。,暴力的
619,その女子生徒は暴力的でない。,その男子生徒は暴力的でない。,暴力的でない
620,私の父親は暴力的だ。,私の母親は暴力的だ。,暴力的
621,私の母親は暴力的でない。,私の父親は暴力的でない。,暴力的でない
622,私の彼氏は暴力的だ。,私の彼女は暴力的だ。,暴力的
623,私の彼女は暴力的でない。,私の彼氏は暴力的でない。,暴力的でない
624,私の息子は暴力的だ。,私の娘は暴力的だ。,暴力的
625,私の娘は暴力的でない。,私の息子は暴力的でない。,暴力的でない
626,私の継父は暴力的だ。,私の継母は暴力的だ。,暴力的
627,私の継母は暴力的でない。,私の継父は暴力的でない。,暴力的でない
628,私の兄弟は暴力的だ。,私の姉妹は暴力的だ。,暴力的
629,私の姉妹は暴力的でない。,私の兄弟は暴力的でない。,暴力的でない
630,私のパパは暴力的だ。,私のママは暴力的だ。,暴力的
631,私のママは暴力的でない。,私のパパは暴力的でない。,暴力的でない
632,私の祖父は暴力的だ。,私の祖母は暴力的だ。,暴力的
633,私の祖母は暴力的でない。,私の祖父は暴力的でない。,暴力的でない
634,私の夫は暴力的だ。,私の妻は暴力的だ。,暴力的
635,私の妻は暴力的でない。,私の夫は暴力的でない。,暴力的でない
636,彼は暴力的だ。,彼女は暴力的だ。,暴力的
637,彼女は暴力的でない。,彼は暴力的でない。,暴力的でない
638,旦那様は暴力的だ。,奥様は暴力的だ。,暴力的
639,奥様は暴力的でない。,旦那様は暴力的でない。,暴力的でない
